Student ID,Age,Gender,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,HS GPA,Test Score,Family Income,First Gen,Financial Aid,Credits Attempted,Credits Completed,First Sem GPA,Attendance Rate,Extracurriculars,On-Campus,Work Hours,Mental Health,Advisor Meetings,Study Hours,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target
646,35,Male,1,1,1,9,1,1,1,13,27,10,10,1,0,0,1,1,3.5,53,127910,No,23392,12,4,2.3,86,5,No,17,7,0,37,19,7.6,2.6,0.32,1
647,24,Male,1,1,1,10,1,1,1,22,1,4,6,0,0,0,1,0,2.8,93,88041,No,18154,16,1,0.4,76,4,Yes,20,4,0,38,21,7.6,2.6,0.32,1
648,30,Male,2,12,1,17,0,3,1,13,14,10,8,0,0,0,1,0,2.9,93,69098,No,6727,14,9,2.9,91,2,Yes,6,5,0,25,26,10.8,1.4,1.74,1
649,25,Male,1,14,2,13,1,1,1,1,14,5,4,0,0,0,1,0,2.6,55,79603,No,13744,13,5,1.5,100,4,Yes,9,3,2,8,27,10.8,1.4,1.74,1
650,34,Female,1,1,1,14,1,1,1,1,28,6,2,1,0,0,1,0,2.8,82,108120,No,23364,15,9,2.4,81,2,No,13,3,2,17,20,9.4,-0.8,-3.12,1
651,29,Male,1,8,1,10,1,1,1,13,1,6,1,1,0,0,1,0,2.7,71,36040,No,7248,16,14,3.7,89,3,No,16,2,5,25,18,16.2,0.3,-0.92,1
652,22,Male,1,17,1,6,1,16,1,1,1,6,6,1,0,0,0,0,3.1,68,68730,No,5973,14,2,1.6,71,3,Yes,28,1,5,29,23,8.9,1.4,3.51,1
653,41,Other,1,12,1,12,1,12,1,1,5,5,4,0,0,0,1,0,2.2,56,70820,No,22149,10,4,2.9,90,0,No,9,10,5,23,24,12.7,3.7,-1.7,0
654,38,Other,1,15,1,10,1,14,1,23,28,7,10,1,0,0,1,1,3.8,58,117772,No,3372,17,10,0.8,68,3,Yes,6,9,4,32,19,13.9,-0.3,0.79,1
655,36,Male,1,1,1,15,1,1,1,13,28,4,6,0,0,0,1,0,2.2,91,145837,No,5178,15,6,2.5,70,2,No,2,5,3,33,19,10.8,1.4,1.74,1
656,20,Other,1,1,4,10,1,1,1,13,28,10,7,1,0,1,1,1,3.4,73,98100,No,19302,12,12,0.8,75,2,No,27,3,2,28,19,8.9,1.4,3.51,1
657,36,Female,1,1,1,10,1,1,1,22,14,6,11,0,0,1,1,0,3.9,62,24298,No,5856,14,6,3.1,87,2,Yes,29,5,0,7,18,7.6,2.6,0.32,1
658,37,Female,1,16,1,3,0,1,1,1,28,6,8,0,0,0,1,0,2.7,82,64102,No,11938,18,14,3.6,74,5,No,25,9,3,30,22,16.2,0.3,-0.92,0
659,26,Other,1,14,1,5,1,1,1,1,14,6,11,0,0,0,1,0,3.9,85,77148,No,21497,13,11,3.1,94,1,Yes,17,9,5,20,20,12.7,3.7,-1.7,0
660,41,Male,1,12,1,4,1,1,1,13,14,10,10,0,0,0,1,0,2.8,53,55468,No,17099,12,6,2.9,90,2,No,3,1,3,36,25,11.1,0.6,2.02,1
661,36,Other,1,15,1,4,1,14,1,1,3,5,3,0,0,0,1,0,2.6,66,62185,No,24194,9,8,3.5,67,4,Yes,16,8,4,32,21,15.5,2.8,-4.06,0
662,26,Male,1,1,1,12,1,1,1,13,14,32,44,1,0,0,1,0,3.2,71,70871,No,1016,12,1,4,85,1,No,22,1,5,24,19,11.1,0.6,2.02,1
663,31,Female,1,8,4,15,1,1,1,1,14,5,2,1,0,0,1,0,2.3,64,98377,No,3828,12,10,1.7,67,0,Yes,28,4,5,17,18,13.9,-0.3,0.79,1
664,22,Female,1,1,3,14,1,1,1,22,27,1,1,1,0,0,1,0,2.6,56,85269,No,3020,12,9,0.8,70,1,Yes,27,1,5,5,18,7.6,2.6,0.32,1
665,28,Male,1,8,3,12,1,1,1,3,3,10,8,1,0,0,1,0,3.1,60,68252,No,21646,15,4,3.9,96,1,Yes,17,3,5,15,19,13.9,-0.3,0.79,1
666,24,Male,1,1,1,6,1,1,5,3,3,7,7,1,0,0,1,1,2.7,53,118121,No,24799,10,9,3,87,4,No,21,8,3,37,19,10.8,1.4,1.74,1
667,27,Other,1,8,2,15,1,1,1,22,28,6,6,1,0,1,0,0,2.2,76,92731,No,8395,9,9,3,75,3,Yes,25,1,5,29,18,10.8,1.4,1.74,1
668,35,Female,1,16,1,10,1,14,1,23,28,6,8,1,0,0,1,1,2.4,61,90099,No,13386,18,3,0.8,80,3,No,24,1,2,28,20,12.4,0.5,1.79,1
669,22,Female,1,8,5,12,1,1,1,1,14,5,9,1,0,0,1,0,2.7,85,96593,No,15583,16,12,2.8,86,0,Yes,3,7,3,20,19,12.4,0.5,1.79,1
670,18,Male,1,13,1,12,1,1,1,13,27,6,8,1,0,0,1,0,3,91,106431,No,17699,11,3,3.2,85,4,Yes,7,3,5,19,28,16.2,0.3,-0.92,1
671,27,Female,1,1,1,10,1,1,1,22,1,10,10,1,0,0,1,1,3.1,91,62663,No,16682,10,0,1,89,2,Yes,3,4,4,28,20,12.7,3.7,-1.7,1
672,43,Male,1,13,1,3,0,1,1,22,28,12,8,1,0,0,1,0,2.1,91,35285,No,19190,12,11,1.8,80,0,No,14,8,2,12,30,7.6,2.6,0.32,1
673,42,Male,1,1,4,12,1,1,1,1,14,10,8,1,0,0,1,1,4,98,84291,No,19301,11,5,2.5,95,4,No,1,8,5,37,19,12.4,0.5,1.79,0
674,43,Other,1,1,2,5,1,1,1,13,14,4,4,1,0,0,1,0,3.8,55,44794,No,7462,12,10,0.2,66,0,Yes,25,9,3,34,22,12.7,3.7,-1.7,1
675,26,Female,1,1,1,11,1,1,1,23,28,6,9,1,0,0,1,0,3.6,88,43127,No,3061,9,9,3.6,74,2,Yes,12,10,2,13,18,11.1,0.6,2.02,0
676,40,Male,1,8,1,16,1,1,1,22,27,10,10,1,0,0,1,0,3.3,78,49034,No,6845,18,9,1.7,71,5,No,23,10,3,21,23,7.6,2.6,0.32,1
677,38,Other,1,8,4,5,1,1,1,1,14,6,8,1,0,0,1,0,3.3,89,135349,No,21401,15,8,2.2,69,3,No,2,7,4,37,18,11.1,0.6,2.02,0
678,35,Female,1,1,1,16,1,1,1,22,14,8,8,1,0,0,1,0,2.8,87,51844,No,23365,17,8,2.8,89,2,No,20,2,2,28,18,15.5,2.8,-4.06,1
679,32,Male,2,12,1,15,1,12,1,22,27,1,1,0,0,1,0,0,2.8,71,119861,No,16044,18,5,1.2,99,4,No,26,4,2,14,50,10.8,1.4,1.74,1
680,31,Other,1,1,1,2,1,1,14,3,3,3,6,1,0,0,1,1,3.5,55,53900,No,3474,11,9,0.7,92,5,Yes,29,2,1,18,19,13.9,-0.3,0.79,1
681,32,Female,1,8,2,11,1,1,14,13,28,10,10,1,0,0,1,0,2.5,52,129921,No,3716,12,10,2.8,100,1,Yes,6,10,0,37,22,13.9,-0.3,0.79,0
682,31,Female,1,15,1,10,1,14,14,1,1,5,7,0,0,1,1,1,3.8,70,67670,No,23899,18,6,3,80,5,No,14,10,2,31,23,12.4,0.5,1.79,1
683,31,Female,1,9,4,6,1,1,1,1,1,5,6,0,0,1,0,1,2.8,52,112937,No,8842,14,8,3.3,66,4,Yes,28,2,5,22,20,12.7,3.7,-1.7,1
684,24,Male,4,12,1,10,1,12,1,22,27,10,11,0,0,0,0,0,3,86,103398,No,13877,15,11,2,69,5,Yes,27,3,4,22,44,13.9,-0.3,0.79,1
685,44,Other,4,12,1,4,1,12,1,22,27,10,10,0,0,0,1,0,2.2,85,73924,Yes,21502,12,11,3.1,96,4,Yes,27,8,4,17,49,15.5,2.8,-4.06,0
686,32,Other,2,14,1,17,0,1,1,22,27,10,10,0,0,0,1,0,3.5,89,69927,No,11608,10,5,1.3,93,4,Yes,24,3,2,9,46,7.6,2.6,0.32,1
687,34,Female,1,12,1,6,1,14,1,22,27,2,10,1,0,0,0,0,3.6,72,89870,No,18679,18,3,1,69,2,No,26,4,0,27,41,12.4,0.5,1.79,1
688,31,Other,1,8,3,12,1,1,1,23,14,10,9,1,0,0,1,0,2.5,70,135566,No,15215,10,6,1.5,61,1,No,21,6,2,30,18,13.9,-0.3,0.79,1
689,42,Male,3,12,1,17,0,1,1,22,1,10,3,0,0,0,1,0,3.9,96,131105,Yes,19817,18,17,2,62,5,Yes,16,3,1,28,43,9.4,-0.8,-3.12,0
690,22,Female,4,12,2,9,1,12,1,22,27,10,8,0,0,1,0,0,2.4,56,69347,No,23098,17,1,0.3,60,5,Yes,26,8,2,32,70,10.8,1.4,1.74,1
691,35,Male,4,12,1,8,1,12,1,22,28,10,5,0,0,0,1,0,3.9,86,145449,No,9885,13,11,0.2,72,0,Yes,8,8,1,10,48,15.5,2.8,-4.06,1
692,35,Female,2,14,1,4,1,1,1,22,27,10,8,0,0,0,1,0,2.3,61,138428,No,20260,17,14,0.5,60,1,Yes,20,1,0,16,41,15.5,2.8,-4.06,1
693,27,Other,1,1,1,11,1,1,1,13,14,10,4,0,0,0,1,0,3.7,80,116850,No,21799,14,8,1.1,86,1,No,11,8,3,21,21,12.7,3.7,-1.7,1
694,34,Female,1,12,1,1,1,1,14,23,27,10,9,0,0,1,0,0,3.7,91,35455,No,14891,15,4,2.2,95,4,No,12,2,3,29,35,16.2,0.3,-0.92,1
695,32,Other,2,12,1,8,1,12,1,2,1,3,10,1,0,0,1,0,2.4,55,115781,No,4520,13,4,2.8,72,4,No,30,8,2,5,44,10.8,1.4,1.74,1
696,30,Other,1,1,1,9,1,1,1,3,1,6,6,1,0,1,1,0,3,82,87804,Yes,13087,17,17,3.3,88,4,Yes,17,8,0,14,18,13.9,-0.3,0.79,0
697,30,Other,2,1,1,3,0,1,1,22,27,1,1,1,0,0,1,0,2.3,92,83522,No,22282,15,1,2.4,87,4,No,26,6,1,9,45,7.6,2.6,0.32,1
698,24,Other,1,1,1,11,1,1,1,3,1,3,2,0,0,0,1,0,2.8,86,83343,No,5511,18,2,2.7,83,4,Yes,28,7,5,35,20,15.5,2.8,-4.06,1
699,22,Female,1,15,1,4,1,14,1,1,28,10,2,1,0,0,1,0,3.1,72,40192,No,12400,13,13,1,89,2,Yes,9,10,5,15,22,12.4,0.5,1.79,0
700,30,Female,1,14,1,7,1,1,1,22,28,6,8,0,0,0,1,0,2.6,55,84513,No,19450,10,7,3.6,79,4,No,0,7,0,11,39,13.9,-0.3,0.79,0
701,45,Other,1,15,1,6,1,14,1,2,2,7,7,0,0,0,0,0,3.2,62,71037,No,17080,18,13,3.3,96,2,No,17,10,5,11,20,12.4,0.5,1.79,1
702,45,Female,2,12,1,9,1,12,1,22,14,10,4,0,0,0,1,0,2.6,61,38392,No,19584,18,9,3,79,5,Yes,8,2,0,32,49,8.9,1.4,3.51,1
703,38,Female,1,4,1,13,1,4,1,5,5,3,3,1,0,0,1,0,3.3,83,22901,No,23339,17,13,0.8,60,0,Yes,27,1,0,21,43,11.1,0.6,2.02,1
704,36,Female,2,12,1,17,0,1,1,22,27,10,10,1,0,0,1,0,2.2,94,34626,No,10418,18,17,1.6,81,0,Yes,4,4,1,38,32,7.6,2.6,0.32,1
705,38,Other,1,12,1,10,1,9,1,22,27,10,10,0,0,0,1,0,2.4,55,108319,No,1386,12,7,2.7,83,1,Yes,13,5,3,10,47,10.8,1.4,1.74,1
706,37,Female,5,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,3.9,77,115119,No,22510,15,9,0.2,78,1,No,12,10,4,8,37,16.2,0.3,-0.92,1
707,32,Male,2,12,1,3,0,1,1,13,1,5,9,0,0,0,1,0,2.5,72,52535,No,892,16,0,4,61,2,No,9,2,2,38,41,10.8,1.4,1.74,1
708,32,Male,2,12,1,4,1,1,1,22,27,10,7,0,0,0,1,0,3.3,58,78895,No,14896,12,2,2.1,75,1,No,0,3,3,39,60,15.5,2.8,-4.06,1
709,39,Female,2,12,1,11,1,1,1,1,14,10,10,0,0,0,1,0,2.6,57,96324,No,8132,10,8,0.1,81,0,No,21,7,3,39,47,10.8,1.4,1.74,1
710,30,Female,1,12,1,3,0,1,1,22,9,10,8,0,0,1,0,0,2.5,71,99222,No,5104,18,10,1.1,79,4,Yes,10,8,0,28,50,12.4,0.5,1.79,1
711,24,Other,2,12,1,17,0,12,1,23,28,12,12,1,0,0,1,0,2.1,61,139865,No,12927,12,3,1.7,66,0,No,15,2,0,33,45,7.6,2.6,0.32,1
712,18,Male,1,12,1,7,1,1,1,22,27,10,9,0,0,1,0,0,2.9,69,44462,No,22711,10,0,0.5,87,1,No,18,1,0,30,45,15.5,2.8,-4.06,1
713,23,Other,2,12,1,6,1,1,1,22,27,12,12,0,0,0,1,0,2.5,59,125326,No,18594,13,0,0.5,96,4,Yes,6,1,4,37,33,7.6,2.6,0.32,1
714,21,Male,1,1,1,12,1,1,1,3,3,3,3,0,0,0,1,0,2.4,68,33323,No,12724,12,3,2.1,82,2,Yes,23,3,0,17,18,10.8,1.4,1.74,1
715,41,Female,2,12,1,6,1,1,1,22,27,7,7,0,0,0,1,0,3.8,79,84672,No,5748,16,15,3.6,70,4,Yes,29,8,1,22,43,9.4,-0.8,-3.12,1
716,21,Female,1,14,1,3,0,1,1,13,27,5,11,0,0,0,1,0,2.1,92,105508,No,17075,10,10,3.2,91,1,Yes,27,7,4,28,44,12.7,3.7,-1.7,0
717,38,Male,1,12,1,8,1,7,1,19,26,1,12,0,0,0,1,0,3.7,52,127263,No,24768,16,5,1.6,80,1,Yes,1,10,1,20,29,7.6,2.6,0.32,1
718,28,Other,4,12,1,14,1,1,1,2,1,4,10,0,0,1,0,0,2.6,78,85863,No,7948,9,9,1.3,81,0,No,9,4,2,7,53,12.7,3.7,-1.7,1
719,23,Male,2,13,1,17,0,6,1,22,27,10,10,0,0,0,1,0,2.8,96,22452,Yes,21989,12,4,2.6,98,4,No,23,4,2,5,37,9.4,-0.8,-3.12,1
720,45,Female,1,14,1,14,1,1,1,23,1,9,11,1,0,0,1,0,3.7,55,134402,No,18233,9,1,0.1,73,3,No,18,4,4,28,18,13.9,-0.3,0.79,1
721,38,Male,1,14,1,1,1,12,1,23,28,5,5,0,0,1,1,0,2.3,87,102752,No,23167,12,2,0.4,79,0,Yes,18,8,1,12,35,16.2,0.3,-0.92,1
722,31,Female,1,1,1,11,1,1,1,13,1,4,8,0,0,0,1,0,3,91,70106,No,7974,16,10,1.9,67,2,Yes,7,10,5,5,23,11.1,0.6,2.02,1
723,27,Other,1,1,1,2,1,1,1,13,28,10,6,1,0,0,1,0,3.5,94,67428,No,20258,15,4,3.7,95,0,No,4,4,2,35,22,7.6,2.6,0.32,0
724,19,Male,1,12,1,3,0,1,1,22,27,12,6,0,0,0,0,0,3.9,52,115513,No,13954,13,2,0.3,100,3,No,3,2,4,23,33,10.8,1.4,1.74,1
725,32,Female,1,4,3,8,1,3,1,22,18,12,11,0,0,0,0,0,3.9,54,21037,No,181,15,12,2.2,78,0,No,14,1,0,34,41,10.8,1.4,1.74,1
726,25,Male,4,4,1,12,1,3,1,22,28,10,8,0,0,0,1,0,3.4,74,89988,Yes,4105,13,9,3.5,81,4,No,16,9,2,12,51,13.9,-0.3,0.79,1
727,22,Other,1,16,1,14,1,1,1,10,5,4,4,0,0,0,1,0,2.7,90,141263,No,10606,13,8,2.3,73,2,No,24,6,3,32,19,11.1,0.6,2.02,1
728,30,Male,1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,2.7,52,39099,No,15903,12,2,3.2,95,2,No,9,5,3,38,35,11.1,0.6,2.02,0
729,30,Female,1,1,2,2,1,1,14,13,1,5,8,1,0,0,1,0,3.8,82,81370,No,13111,17,16,0.9,95,4,Yes,18,3,2,40,20,7.6,2.6,0.32,1
730,25,Male,1,14,1,14,1,1,1,3,2,3,3,1,0,0,1,0,2,65,133051,No,23098,10,8,0.6,95,2,Yes,23,9,1,18,18,13.9,-0.3,0.79,1
731,29,Other,1,1,1,15,1,1,1,13,27,10,10,0,0,1,0,1,2.1,86,142469,No,14062,11,8,0.3,71,5,No,28,3,0,36,18,13.9,-0.3,0.79,1
732,18,Female,1,15,1,4,1,14,1,2,1,5,7,0,0,0,1,0,2.4,87,46774,No,13034,18,17,1.3,78,1,Yes,27,1,4,25,21,13.9,-0.3,0.79,1
733,26,Other,1,1,1,11,1,1,1,1,14,7,7,1,0,0,1,0,3,98,81814,No,6296,13,2,1.9,96,0,Yes,17,1,2,19,21,13.9,-0.3,0.79,1
734,28,Male,2,12,2,9,1,1,1,13,27,5,8,0,0,0,1,0,2.4,72,112679,No,1654,10,9,3.1,71,5,No,9,5,2,25,34,9.4,-0.8,-3.12,1
735,37,Male,4,12,1,8,1,1,1,22,27,7,8,1,0,0,1,0,3.8,52,73522,No,13064,15,6,1.5,62,1,No,15,10,3,28,34,16.2,0.3,-0.92,1
736,31,Female,1,8,2,14,1,1,1,3,3,5,11,1,0,0,1,0,3.1,94,74081,No,14885,15,14,1.3,91,5,No,20,4,2,39,21,11.1,0.6,2.02,0
737,36,Male,1,14,1,15,1,1,1,3,27,4,8,0,0,0,1,0,3.4,90,48818,No,22093,16,15,0.9,86,4,Yes,22,6,1,23,32,13.9,-0.3,0.79,1
738,24,Female,1,8,2,11,1,1,1,22,27,6,8,1,0,0,1,0,3.9,78,102948,No,15289,18,3,2.4,63,2,Yes,11,1,1,38,30,7.6,2.6,0.32,1
739,45,Female,1,1,1,2,1,1,1,1,3,4,8,1,0,1,1,0,3.4,98,39811,No,8752,12,3,0.4,90,3,No,30,1,0,39,19,8.9,1.4,3.51,1
740,24,Male,1,16,1,15,1,1,1,1,14,9,9,1,0,0,1,0,3.8,53,54971,No,15167,16,6,0.8,77,3,Yes,9,8,3,5,20,8.9,1.4,3.51,1
741,30,Male,1,1,1,5,1,1,1,13,14,10,8,1,0,0,1,0,3.9,60,61272,No,1504,13,3,0.1,95,3,No,15,3,5,32,18,12.4,0.5,1.79,1
742,42,Other,1,1,1,11,1,1,1,3,3,3,3,0,0,0,1,0,2,52,39655,No,2738,16,4,3.1,84,3,No,18,2,3,36,19,8.9,1.4,3.51,1
743,27,Male,1,8,3,12,1,1,1,3,3,4,4,1,0,0,1,0,3.5,82,131827,No,19057,10,7,2.7,79,2,Yes,18,4,5,25,18,12.4,0.5,1.79,1
744,19,Male,1,12,1,17,0,1,1,1,14,5,9,0,0,0,1,0,2.5,76,20491,No,3074,11,7,1.1,96,0,Yes,15,8,4,37,27,12.7,3.7,-1.7,0
745,27,Female,1,12,1,15,1,9,1,1,1,10,10,1,0,0,1,0,3.7,69,29013,No,24045,13,7,2.2,95,1,No,29,4,0,28,52,9.4,-0.8,-3.12,1
746,33,Female,2,14,1,4,1,1,1,1,1,5,6,1,0,0,0,0,3,64,132509,No,22377,16,3,0.8,98,2,Yes,2,9,4,26,29,15.5,2.8,-4.06,1
747,34,Other,1,16,1,4,1,14,1,1,14,5,5,1,0,1,0,0,2.4,78,136671,No,12137,13,11,3.6,73,0,Yes,15,10,4,6,22,8.9,1.4,3.51,0
748,28,Female,1,14,1,6,1,1,11,23,28,10,7,1,0,0,1,0,3.6,86,56469,No,5483,17,14,0.4,95,5,Yes,12,5,0,25,28,15.5,2.8,-4.06,0
749,30,Female,1,12,1,14,1,6,1,1,1,12,4,1,0,0,1,0,3.1,84,21854,No,17241,11,3,0.3,85,2,No,18,1,4,18,30,7.6,2.6,0.32,1
750,41,Male,1,1,2,12,1,1,1,1,1,6,4,1,0,0,1,0,3.6,77,65101,No,10037,13,3,3.1,82,5,Yes,16,3,1,8,18,16.2,0.3,-0.92,1
751,27,Female,1,1,2,14,1,1,1,23,27,6,6,1,0,0,1,0,2.6,54,107836,No,17715,10,6,0.6,86,1,No,10,7,5,26,21,9.4,-0.8,-3.12,1
752,24,Male,1,1,1,5,1,1,1,22,27,10,10,1,0,1,1,1,3.6,59,82780,No,3349,17,16,2.5,68,4,No,0,1,4,29,20,12.7,3.7,-1.7,1
753,19,Female,1,13,1,12,1,1,1,22,27,4,4,1,0,0,1,1,2.8,64,63872,No,16453,9,8,1.5,90,1,No,5,8,0,15,21,9.4,-0.8,-3.12,1
754,40,Male,2,12,1,17,0,12,1,13,27,8,10,0,0,1,0,0,3.6,71,124041,Yes,14762,15,8,2,97,0,Yes,30,3,2,20,32,10.8,1.4,1.74,1
755,22,Female,1,1,3,5,1,1,1,22,27,10,10,1,0,0,1,1,2.8,82,93750,No,20072,18,18,2.9,63,4,No,18,3,0,25,20,12.4,0.5,1.79,1
756,18,Other,1,1,4,2,1,1,1,1,14,5,6,1,0,1,0,0,2.8,99,58232,No,21980,16,16,0.7,73,3,Yes,3,3,2,13,19,15.5,2.8,-4.06,1
757,30,Female,1,6,1,14,1,1,14,1,1,10,6,0,0,1,0,0,2.5,56,86485,No,9734,12,4,0.5,66,3,Yes,20,6,3,13,18,8.9,1.4,3.51,1
758,35,Male,1,14,1,17,0,1,1,22,2,10,5,1,0,0,0,0,2.3,90,133801,No,751,13,6,3.7,91,2,Yes,26,5,5,18,23,7.6,2.6,0.32,0
759,19,Female,1,1,1,11,1,1,1,1,1,4,4,1,0,0,1,0,3,87,92044,No,1458,11,4,1,92,2,No,0,6,0,27,20,12.4,0.5,1.79,0
760,34,Male,2,14,2,9,1,1,1,22,27,10,10,1,0,0,1,0,2.5,79,27019,No,20382,17,5,0.3,62,3,No,5,4,4,22,46,9.4,-0.8,-3.12,1
761,34,Female,1,8,1,4,1,1,1,3,3,3,3,0,0,0,1,0,2.6,75,61919,No,7568,18,10,1.8,70,3,Yes,11,1,2,26,27,15.5,2.8,-4.06,1
762,33,Male,1,3,1,2,1,1,1,3,14,2,11,1,0,0,1,0,3,89,34141,No,14316,18,10,0.1,100,0,No,22,1,3,35,20,16.2,0.3,-0.92,1
763,29,Female,2,14,3,3,0,12,1,22,27,10,10,1,0,0,1,0,2.3,50,91663,No,24825,16,3,3.1,97,0,No,2,3,5,21,41,9.4,-0.8,-3.12,0
764,34,Female,1,6,1,9,1,1,8,1,3,30,4,0,0,1,1,0,3.5,81,24388,No,20693,11,3,2.4,66,3,No,6,1,3,7,40,11.1,0.6,2.02,1
765,34,Other,2,15,1,3,0,14,1,1,1,6,6,0,0,0,1,0,3.8,53,108550,No,6925,17,0,1.3,98,5,No,2,1,0,5,37,12.4,0.5,1.79,1
766,42,Female,1,1,4,9,1,1,1,23,28,6,11,0,0,0,1,0,2.8,83,26214,No,713,10,0,3.7,75,0,No,30,10,5,6,20,12.4,0.5,1.79,1
767,36,Female,1,15,1,8,1,14,1,1,1,5,5,1,0,0,1,0,2.6,55,93865,No,19687,14,4,1.8,96,2,No,1,3,4,40,20,10.8,1.4,1.74,0
768,24,Other,1,4,1,17,0,15,1,1,27,5,2,0,0,0,1,0,2.1,61,127850,No,15307,17,3,1.1,82,5,No,29,2,4,14,26,12.4,0.5,1.79,1
769,30,Female,2,12,1,3,0,1,1,22,27,10,8,0,0,0,1,0,3.5,89,69298,No,19503,12,11,0.5,99,0,No,3,9,3,6,54,8.9,1.4,3.51,1
770,42,Other,1,8,5,14,1,1,1,13,14,6,6,1,0,0,1,0,2.6,97,37740,No,3017,18,15,0.4,93,0,Yes,4,3,1,24,21,10.8,1.4,1.74,1
771,22,Male,1,1,1,6,1,1,1,1,1,10,10,1,0,0,1,1,3.1,53,27642,No,16046,14,3,1,72,2,Yes,10,1,0,28,20,11.1,0.6,2.02,1
772,22,Female,1,8,6,15,1,1,1,1,14,6,6,1,0,0,1,0,2.8,71,55048,No,21083,10,0,3.8,69,5,No,21,10,4,28,18,12.4,0.5,1.79,1
773,31,Female,1,1,3,12,1,1,1,1,14,5,10,1,0,0,1,0,2.5,52,34766,No,7999,10,10,1.6,90,2,Yes,30,10,0,27,19,15.5,2.8,-4.06,1
774,35,Male,1,1,2,10,1,1,1,23,1,5,11,1,0,0,1,0,3.2,53,37829,No,24246,15,15,2.6,67,2,Yes,13,7,3,23,18,9.4,-0.8,-3.12,1
775,33,Male,1,1,1,6,1,1,1,3,1,3,9,1,0,0,1,0,2.9,68,45086,No,20471,15,6,2.8,93,1,Yes,13,7,1,39,19,12.4,0.5,1.79,1
776,24,Other,1,15,1,6,1,14,1,1,1,5,8,1,0,1,1,0,2.6,96,85352,No,391,9,3,3.2,85,5,Yes,1,2,3,40,22,13.9,-0.3,0.79,0
777,37,Female,1,14,1,6,1,1,1,2,1,5,5,0,0,0,1,0,4,71,54554,No,3723,12,3,1.3,77,1,Yes,12,9,5,12,19,12.4,0.5,1.79,1
778,19,Female,1,1,1,2,1,1,1,3,2,5,3,1,0,0,1,0,3.3,55,79119,No,18360,15,4,1.7,77,3,Yes,15,10,3,25,21,8.9,1.4,3.51,1
779,29,Male,1,8,1,16,1,1,1,3,3,18,24,0,0,0,1,0,2.8,86,111041,No,10338,18,16,3.2,74,4,Yes,3,4,2,19,20,11.1,0.6,2.02,0
780,32,Female,1,8,3,15,1,1,1,1,14,6,6,1,0,0,1,1,2.5,51,135260,No,14592,17,13,0.9,91,5,No,1,9,2,40,18,16.2,0.3,-0.92,0
781,35,Other,1,8,1,15,1,1,1,23,28,8,8,1,0,0,1,1,2.4,84,106645,No,20668,13,13,1.6,86,2,Yes,2,3,2,33,18,8.9,1.4,3.51,1
782,44,Other,1,8,1,14,1,1,1,1,1,6,5,1,0,1,1,0,2.3,64,82644,No,11787,11,6,1.6,97,5,No,1,10,2,6,20,15.5,2.8,-4.06,1
783,43,Male,1,1,1,12,1,1,1,13,27,4,9,0,0,0,1,1,3.7,64,35614,No,23141,17,17,2.8,96,4,Yes,13,5,0,32,18,15.5,2.8,-4.06,0
784,39,Female,1,1,3,12,1,1,1,3,3,2,4,1,0,0,1,0,2.5,69,44192,No,16007,16,9,1.4,64,2,No,15,10,2,7,18,9.4,-0.8,-3.12,1
785,24,Female,1,1,2,15,1,1,1,1,24,10,10,1,0,0,1,1,2.4,75,26398,No,8256,11,1,1.1,95,5,Yes,20,8,3,32,20,12.4,0.5,1.79,1
786,19,Female,1,1,1,10,1,1,1,1,1,2,2,1,0,0,1,0,2.3,52,87561,No,16353,17,10,3.1,99,2,No,11,4,0,27,19,11.1,0.6,2.02,1
787,30,Female,1,1,1,5,1,1,1,3,3,2,3,1,0,0,1,0,2.2,73,144024,No,13776,17,2,0.9,85,3,Yes,20,6,5,22,18,12.7,3.7,-1.7,1
788,32,Female,1,1,1,12,1,1,1,3,1,5,6,0,0,0,1,0,2.8,99,98162,No,21833,10,3,1.8,83,2,No,19,2,0,30,18,10.8,1.4,1.74,1
789,20,Female,1,3,3,6,1,1,1,22,27,1,12,0,0,1,1,1,3.2,52,78633,No,7841,11,5,2.8,76,2,Yes,24,4,2,13,18,7.6,2.6,0.32,1
790,38,Other,1,8,3,2,1,1,1,13,1,6,5,1,0,0,1,1,2.1,50,59328,No,5314,12,12,2.5,77,1,Yes,20,8,0,22,20,12.7,3.7,-1.7,1
791,23,Female,1,8,1,15,1,1,1,1,14,10,10,0,0,0,1,1,3.9,61,82343,No,7556,17,11,3.4,99,1,No,14,6,2,29,19,11.1,0.6,2.02,0
792,26,Female,1,12,1,12,1,1,1,3,3,3,3,0,0,0,0,0,3.6,85,131340,No,17050,11,9,3.9,90,1,Yes,15,3,0,16,36,15.5,2.8,-4.06,0
793,27,Female,1,8,1,10,1,1,1,1,30,10,3,0,0,0,1,1,3.2,92,135692,No,15244,12,7,0.6,65,2,No,19,2,1,22,19,11.1,0.6,2.02,1
794,38,Male,1,8,3,10,1,1,1,3,1,3,6,1,0,0,1,0,4,90,98056,No,17850,12,0,2.1,65,4,No,28,5,5,17,18,8.9,1.4,3.51,1
